"REGION","SUB_REGION","DISTRICT","SUBCOUNTY","NAME","UID","COORDINATES","OPERATIONAL STATUS","FACILITY_LEVEL","OWNERSHIP_NAME","AUTHORITY_NAME"
"Central Region","North Central","Mubende District","Western Division (Mubende MC)","303 Brigade HC II","atHXbhmWAsh","""""","Non-Functional","","GOV","UPDF"
"Northern Region","West Nile","Moyo District","Moyo Subcounty","309 Brigade Military Moyo HC III","iNLsVN6SOQg","""""","Functional","HC III","GOV",""
"Central Region","South Central","Kyotera District","Kyotera Town Council","3M Mummy's Dom Clinic","SU6u279D3JC","""""","Functional","Clinic","PFP","Private"
"Northern Region","Karamoja","Kotido District","Nakapelimoru Subcounty","405 Brigade HC III","W3hXYmtaQ4Q","""""","Functional","HC III","GOV","UPDF"
"Northern Region","Acholi","Pader District","Pader Subcounty","5th Military Division HC IV","auzuV39xOTU","{""type"": ""Point"", ""coordinates"": [33.00944, 2.77578]}","Functional","HC IV","GOV","UPDF"
"Central Region","South Central","Wakiso District","Entebbe Division A","6K HC II","ka4wo1bKTx6","""""","","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","7 Hills Clinic HC II","kVasRtzumpR","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","AAA Dental & Oral Surgery Clinic HC II","EDljgyL8rYo","""""","Non-Functional","HC II","PFP","Private"
"Eastern Region","Teso","Katakwi District","Usuk Subcounty","Aakum HC II","J2JiemiIQvD","{""type"": ""Point"", ""coordinates"": [34.08282, 1.99413]}","Functional","HC II","GOV","MOH"
"Eastern Region","Teso","Serere District","Pingire Subcounty","Aarapoo HC III","aVQCbe80pl7","{""type"": ""Point"", ""coordinates"": [33.22673, 1.42831]}","Functional","HC II","GOV","MOH"
"Central Region","Kampala","Kampala District","Nakawa Division","AAR Bugolobi Health Care HC II","FbzPPH8fy5s","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","AAR City Centre HC II","hE3E3nXNUjX","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","AAR Clinic Acacia HC II","I6QbcVsphVT","""""","Functional","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Bweyogerere Division","AAR Clinic Bweyogerere HC II","Ppyz6vwPpKi","""""","","HC II","PFP","Private"
"Central Region","South Central","Wakiso District","Massajja Division","AAR Clinic Freedom City HC II","H9VMaF4vdmM","""""","Functional","HC II","PFP","Private"
"Northern Region","Acholi","Gulu District","Laroo Division","AAR Gulu Clinic","b2LlvIFGc5U","""""","Functional","Clinic","PFP","Private"
"Central Region","Kampala","Kampala District","Makindye Division","AAR Kabalagala Clinic HC II","pLkoHnX3Ukn","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Central Division (Kampala CCA)","AAR Makerere Branch HC II","KMKSbxhedfy","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","AAR Ntinda HC II","j1gpp563TOQ","""""","Functional","HC II","PFP","Private"
"Central Region","North Central","Mukono District","Kyampisi Subcounty","Abaase Dispensary Clinic","LBXgpCULyDB","""""","Non-Functional","Clinic","PFP","Private"
"Central Region","South Central","Wakiso District","Katabi Town Council","Abaita Medical Centre Clinic","gqBr1S7L6yG","{""type"": ""Point"", ""coordinates"": [32.50057, 0.09262]}","Functional","","PFP","Private"
"Northern Region","Lango","Alebtong District","Awei Subcounty","Abako-Elim HC II","etPrOnArvd1","{""type"": ""Point"", ""coordinates"": [33.20304, 2.12141]}","Functional","HC II","PNFP","UPMB"
"Northern Region","Lango","Alebtong District","Abako Subcounty","Abako HC III","yDPmjwoOIxi","{""type"": ""Point"", ""coordinates"": [33.22367, 2.14555]}","Functional","HC III","GOV","MOH"
"Northern Region","Lango","Lira District","Agweng Subcounty","Abala HC III","E9a1cflRJZf","{""type"": ""Point"", ""coordinates"": [32.97643, 2.531]}","Functional","HC III","GOV","MOH"
"Eastern Region","Teso","Kalaki District","Anyara Subcounty","Abalang HC II (Anyara Subcounty)","aQrkHdMfe12","{""type"": ""Point"", ""coordinates"": [33.29895, 1.98173]}","Functional","HC II","PFP","Private"
"Northern Region","Lango","Dokolo District","Okwalongwen Subcounty","Abalang HC II (Okwalongwen Subcounty)","UjMKFe4MIGj","{""type"": ""Point"", ""coordinates"": [33.244536, 2.032713]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Oyam District","Acaba Subcounty","Abanya HC II","hPIXVP3f1nP","""""","Functional","HC II","GOV","MOH"
"Eastern Region","Teso","Amuria District","Abarilela Subcounty","Abarilela HC III","IswqGyDbcgm","{""type"": ""Point"", ""coordinates"": [33.81817, 1.962]}","Functional","HC III","GOV","MOH"
"Western Region","Tooro","Kyenjojo District","Butunduuzi Town Council","Abbu Clinic","eqXcVOLqXPI","""""","Non-Functional","Clinic","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Abc Clinic HC II","QfL0LY9NZa1","""""","Functional","HC II","PFP","Private"
"Central Region","North Central","Kayunga District","Kangulumira Subcounty","Abc Maternity Home Clinic","aqVk5wVqyQf","""""","Functional","Clinic","PFP","Private"
"Western Region","Tooro","Kitagwenda District","Nyabbani Subcounty","Abednego Medical Centre HC II","yVYFwnN6Cnd","""""","Functional","HC II","PFP","Private"
"Northern Region","Lango","Kwania District","Abongomola Subcounty","Abedober HC III","YhPJwSvxDcC","{""type"": ""Point"", ""coordinates"": [32.8508, 1.94593]}","Functional","HC III","PNFP","UCMB"
"Northern Region","Lango","Kwania District","Chawente Subcounty","Abei HC II","BRYcaY1oeHd","{""type"": ""Point"", ""coordinates"": [32.59793, 1.68949]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Amolatar District","Abeja Subcounty","","x0Fq29YFNHu","""""","","","",""
"Eastern Region","Teso","Amuria District","Ogolai Subcounty","Abeko CBO HC II","o7CJeTwDapk","{""type"": ""Point"", ""coordinates"": [33.53494, 2.03051]}","Functional","HC II","PNFP","CBO"
"Eastern Region","Teso","Amuria District","Ogolai Subcounty","Abeko HC II","UiGav1NitiR","{""type"": ""Point"", ""coordinates"": [33.53494, 2.03051]}","Functional","HC II","GOV","UPMB"
"Northern Region","Lango","Oyam District","Aleka Subcounty","Abela HC II","i783Z5CHxyj","{""type"": ""Point"", ""coordinates"": [32.75053, 2.59879]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Oyam District","Aber Subcounty","Aber HC II","A9Bt9vywHbP","{""type"": ""Point"", ""coordinates"": [32.386588, 2.236962]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Oyam District","Kamdini Subcounty","Aber Hospital","cDGKAJzfkpf","""""","Functional","Hospital","PNFP","UCMB"
"Northern Region","Lango","Oyam District","Aber Subcounty","Aber Prisons Clinic","nvvdOyxWiBW","""""","Functional","HC II","","UPS"
"Western Region","Bunyoro","Kagadi District","Mabaale Town Council","Abesiga Mukama Domiciliary Maternity","qvXqsKHH1LH","""""","Functional","Clinic","PFP","Private"
"Northern Region","West Nile","Moyo District","Metu Subcounty","Abeso HC II","ZubUtSX9erU","{""type"": ""Point"", ""coordinates"": [31.76547, 3.65161]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Alebtong District","Abia Subcounty","Abia HC II (Abia Subcounty)","SNwc1CQIXTN","{""type"": ""Point"", ""coordinates"": [33.15979, 2.42085]}","Functional","HC II","GOV","MOH"
"Eastern Region","Teso","Amuria District","Kuju Subcounty","Abia HC II (Kuju Subcounty)","yZP0DwhrfR8","{""type"": ""Point"", ""coordinates"": [33.57547, 1.9823]}","Functional","HC II","GOV","MOH"
"Central Region","South Central","Wakiso District","Nansana Division","Abigail Medical Centre HC II","t15uLLkZzQR","""""","","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Kawempe Division","Abii Clinic HC IV","KUFnXlL4bk3","""""","Functional","HC IV","PFP","Private"
"Northern Region","Karamoja","Amudat District","Loroo Subcounty","Abiliyep HC III","QtKKTyoBfMv","""""","Functional","HC III","",""
"Northern Region","Acholi","Agago District","Lapono Subcounty","Abilonino HC II","aGfndLfPcOz","{""type"": ""Point"", ""coordinates"": [33.4388, 2.87899]}","Functional","HC II","GOV","MOH"
"Northern Region","Karamoja","Abim District","Abim Town Council","Abim Hospital","RxPKxSBe0DC","{""type"": ""Point"", ""coordinates"": [33.66236, 2.67686]}","Functional","Hospital","GOV","MOH"
"Northern Region","Karamoja","Abim District","Morulem Subcounty","Abim Obolokome HC II","ltIECAx2ppI","{""type"": ""Point"", ""coordinates"": [33.79094, 2.58851]}","Functional","HC II","GOV","MOH"
"Eastern Region","Teso","Kaberamaido District","Aperikira Subcounty","Abirabira HC II","LvFBfRqhgKN","{""type"": ""Point"", ""coordinates"": [33.21273, 1.70848]}","Functional","HC II","GOV","MOH"
"Northern Region","West Nile","Yumbe District","Odravu Subcounty","Abiriamajo HC II","RnXpcMWI5Zu","{""type"": ""Point"", ""coordinates"": [31.29646, 3.38005]}","Functional","HC II","GOV","MOH"
"Northern Region","West Nile","Arua District","River Oli Division","Abiriambati General Clinic","hw8AtCN24sp","""""","Non-Functional","Clinic","PFP","Private"
"Central Region","South Central","Wakiso District","Ndejje Division","Abison Medical Clinic HC II","YTBLK7mhWSM","""""","","HC II","PFP","Private"
"Northern Region","Lango","Kole District","Aboke Subcounty","Aboke HC IV","UIhutvdIhqU","{""type"": ""Point"", ""coordinates"": [32.6813, 2.3513]}","Functional","HC IV","GOV","MOH"
"Northern Region","Lango","Kole District","Aboke Subcounty","Aboke Mission HC III","mpqPtBSjAgz","{""type"": ""Point"", ""coordinates"": [32.70663, 2.37705]}","Functional","HC III","PNFP","UCMB"
"Northern Region","West Nile","Nebbi District","Erussi Subcounty","Abongo HC II","stZgyEm9xer","{""type"": ""Point"", ""coordinates"": [31.12852, 2.29225]}","Functional","HC II","GOV","MOH"
"Northern Region","Lango","Kwania District","Abongomola Subcounty","Abongomola HC III","xzRSc5XHzys","{""type"": ""Point"", ""coordinates"": [32.83161, 1.9996]}","Functional","HC III","GOV","MOH"
"Central Region","Kampala","Kampala District","Kawempe Division","Above All Madical Centre HC II","U7EsMSb275z","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Abu Health Care Clinic HC II","Wvs8OuhExJ6","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Nakawa Division","Abuhealth Care Clinic HC II","mU2wb7Ck8rK","""""","Functional","HC II","PFP","Private"
"Central Region","Kampala","Kampala District","Rubaga Division","Abu Kats Medical Centre HC II","Qd8EIIhg2oM","""""","Functional","HC II","PFP","Private"
