District,County,Subcounty,Parish,Pop_Male,Pop_Female,Pop_Ratio,Pop_Total
Abim,Labwor,Abim Town Council,Kalakala,1056,1097,96.3,2153
Abim,Labwor,Abim Town Council,Kiru,1283,1358,94.5,2641
Abim,Labwor,Abim Town Council,Oyaro,1828,1899,96.3,3727
Abim,Labwor,Abim Town Council,Wiawer,4262,4385,97.2,8647
Abim,Labwor,Abim,Aninata,704,872,80.7,1576
Abim,Labwor,Abim,Arembwola,1151,1086,106,2237
Abim,Labwor,Abim,Atunga,2797,2951,94.8,5748
Abim,Labwor,Abim,Kanu,1504,1569,95.9,3073
Abim,Labwor,Alerek,Koya,2196,2354,93.3,4550
Abim,Labwor,Alerek,Kulodwong,1682,1725,97.5,3407
Abim,Labwor,Alerek,Loyoroit,1087,1189,91.4,2276
Abim,Labwor,Alerek,Otumpili,1726,1776,97.2,3502
Abim,Labwor,Alerek,Wilela,1699,1964,86.5,3663
Abim,Labwor,Lotukei,Achangali,1045,1116,93.6,2161
Abim,Labwor,Lotukei,Aridai,1173,1249,93.9,2422
Abim,Labwor,Lotukei,Awach,1065,1150,92.6,2215
Abim,Labwor,Lotukei,Barlyech,1161,1181,98.3,2342
Abim,Labwor,Lotukei,Gangming,2130,2273,93.7,4403
Abim,Labwor,Lotukei,Gotapwou,1256,1280,98.1,2536
Abim,Labwor,Lotukei,Oporoth,1926,1955,98.5,3881
Abim,Labwor,Lotukei,Orwamuge,1420,1594,89.1,3014
Abim,Labwor,Morulem,Adea,2692,2455,109.7,5147
Abim,Labwor,Morulem,Akwangagwel,644,703,91.6,1347
Abim,Labwor,Morulem,Angolebwal,1986,2184,90.9,4170
Abim,Labwor,Morulem,Aremo,2682,2916,92,5598
Abim,Labwor,Morulem,Katabok East,1539,1726,89.2,3265
Abim,Labwor,Morulem,Katabok West,1519,1833,82.9,3352
Abim,Labwor,Nyakwae,Kobulin,1362,1317,103.4,2679
Abim,Labwor,Nyakwae,Opopongo,2076,2214,93.8,4290
Abim,Labwor,Nyakwae,Oreta,1203,1408,85.4,2611
Abim,Labwor,Nyakwae,Pupu-Kamuya,1064,1060,100.4,2124
Abim,Labwor,Nyakwae,Rogom,1538,1671,92,3209
Adjumani,East Moyo,Adjumani Town Council,Biyaya,5354,5630,95.1,10984
